nama_tempat,user,review,rating
unknown location,ramsi yana,Laut ny sangat indah ombak nya luar biasa😍 …,5
unknown location,Rizki Nurnawata,"Wisata yg cukup lumayan jauh hehe, tempatnya sedikit kurang terawat",4
unknown location,Kristian Aji,"Ada banyak pungli sekarang, beda gak seperti dulu lagi",2
unknown location,dennis hermawan aristam patty,Sayang masih blum dikelola secara maximal....,3
unknown location,aldiano dohertian,"Pantai yang bagus dan orang orang nya pun ramah, dinas pariwisata yang berada di depan pantai adalah yang terbaik yang ada di lampung,",5
unknown location,tito heri,"T3mpat nyantai klo sudah lelah...ada kelapa muda dan jajanan, lengkap...special bakso ikan...",5
unknown location,DAFTAR BERITA,Karna disitu kita bisa melihat pemandangan yang indah dan asri serta kita akan merasa tenang,5
unknown location,Yanto Nicho,"Masyarakat nya ramah,pantai lumayan bersih",5
unknown location,fuad zuhri,"Tempatnya bagus, ditingkatkan lagi perawatan dan fasilitas.",5
unknown location,arya Sp,"Tempatnya bagus, tapi banyak sampahnya",4
unknown location,mahes wari,Pantai ny masih asri bersih dan pedagang ny ramah...,4
unknown location,Artonis Channel,Tempat yg menyenangkan u berlibur,5
unknown location,Sabiya K Hanifa,Untuk sekedar beristirahat dari perjalanan jauh cukup bagus. Bisa menikmati es degan dipinggir pantai dan petisan Abang gerobak biru yg enak.  Dan anak2 bisa bermain pasir dipinggir pantai dengan aman tentunya di dampingi orang tua. Namun …,3
unknown location,Butet “Situmorang”,"Suka banget si kalau holiday disini, foto ini diabadikan 2januari22 padat pengunjung guys.",5
unknown location,Di'in Mubtadi'in,"Bersih, Rapi, Aman dan Nyaman.
Bebas Biaya Masuk & Parkir Kendaraan.",5
unknown location,kucing lucu lili lulu 1515,Gak sia sia kesini keren banget kek di bali,5
unknown location,edo Ramesha,Pantai nya Ok. Tp kurang diperhatikan kebersihan nya,3
unknown location,deni fazri,"Pantai ini indah banget, enak banget buat temen-temen yang ingin bertamsya, untuk masuk ketempat ini pun gratis dan tidak dipungut biaya sama sekali. Air nya juga masih bersih, banyak pohon, banyak tempat makan, dan pantai ini juga banyak …",5
unknown location,Mash Dahhal,Pemandangan nya super bagus,5
unknown location,Dendi Prayoga,"Tempat dengan view samudera yang sangat jelas. Deburan ombak yang merdu, cuaca cerah membuat suasana menarik. Cocok menikmati suasana dengan minum es dugan yang disediakan di sekitar pantai …",3
unknown location,Alpiero Eriga,Pantai indah dengan ombak yang besar. Cocok untuk berselancar tp kurang cocok untuk anak2.,5
unknown location,Doni Wijaya,"Pantainya bersih, ombaknya besar, sangat nyaman",4
unknown location,TRAVEL HADI JAYA,"Hadi jaya Jakarta lampung timur
081368616399",5
unknown location,Tanpa Judul,Tempat yang indah dan bagus buat liburan keluarga,5
unknown location,iqbal hidayat,"Deket kostan, ada es kelapa muda mas Mul. Sunsetnya bagus pol.",5
unknown location,Heppy Mutiara Indah,"Keren
Viewnya bagus
Lautnya biruu
Ketjeeeeh",5
